date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2020-06-22,65717.176176,9294.69,66009.60792,9336.05,65592.737136,9277.09,65933.95464,9325.35,848.793609,848.793609
2020-06-21,66171.52008,9358.95,66617.3088,9422.0,65624.200416,9281.54,65717.176176,9294.69,24316.926234,24316.926234
2020-06-20,65827.050192,9310.23,66426.408,9395.0,64842.28488,9170.95,66171.52008,9358.95,30329.065384,30329.065384
2020-06-19,66365.036928,9386.32,66732.55632,9438.3,65159.321616,9215.79,65827.050192,9310.23,45330.983673,45330.983673
2020-06-18,66922.255152,9465.13,67091.0256,9489.0,65613.312,9280.0,66365.036928,9386.32,37381.953765,37381.953765
2020-06-17,67359.488688,9526.97,67628.376,9565.0,65306.527344,9236.61,66922.325856,9465.14,48046.411152,48046.411152
2020-06-16,66645.94392,9426.05,67798.0656,9589.0,66271.495536,9373.09,67349.731536,9525.59,52052.446927,52052.446927
2020-06-15,66052.38384,9342.1,67133.448,9495.0,63000.44568,8910.45,66645.731808,9426.02,86107.924707,86107.924707
2020-06-14,66980.303136,9473.34,67034.391696,9480.99,65365.848,9245.0,66052.38384,9342.1,30055.506608,30055.506608
2020-06-13,66921.053184,9464.96,67131.538992,9494.73,66115.3104,9351.0,66980.303136,9473.34,27759.784851,27759.784851
2020-06-12,65605.393152,9278.88,67572.661248,9557.12,65277.538704,9232.51,66922.255152,9465.13,50119.066932,50119.066932
2020-06-11,69892.459488,9885.22,70449.4656,9964.0,64432.5552,9113.0,65616.14016,9280.4,94418.98473,94418.98473
2020-06-10,69095.059776,9772.44,70652.527488,9992.72,68612.434272,9704.18,69890.904,9885.0,47130.762982,47130.762982
2020-06-09,69162.6528,9782.0,69834.3408,9877.0,67663.728,9570.0,69094.989072,9772.43,46024.001289,46024.001289
2020-06-08,68915.118096,9746.99,69289.92,9800.0,68109.1632,9633.0,69162.723504,9782.01,40664.664125,40664.664125
2020-06-07,68348.49624,9666.85,69304.0608,9802.0,66267.041184,9372.46,68915.118096,9746.99,57952.848385,57952.848385
2020-06-06,68025.520368,9621.17,68830.344,9735.0,67388.33592,9531.05,68344.60752,9666.3,32752.950893,32752.950893
2020-06-05,69206.065056,9788.14,69677.0244,9854.75,67741.5024,9581.0,68025.449664,9621.16,47788.05005,47788.05005
2020-06-04,68344.748928,9666.32,69867.076752,9881.63,66815.28,9450.0,69212.569824,9789.06,57456.100969,57456.100969
2020-06-03,67296.208608,9518.02,68512.176,9690.0,66215.780784,9365.21,68344.183296,9666.24,46252.644939,46252.644939
2020-06-02,72137.240784,10202.71,72323.050896,10228.99,65514.3264,9266.0,67296.350016,9518.04,108970.773151,108970.773151
2020-06-01,66803.048208,9448.27,73390.752,10380.0,66614.975568,9421.67,72123.524208,10200.77,76649.12696,76649.12696
2020-05-31,68566.759488,9697.72,68582.88,9700.0,66330.321264,9381.41,66803.048208,9448.27,48333.786403,48333.786403
2020-05-30,66649.83264,9426.6,68865.696,9740.0,65975.528592,9331.23,68566.759488,9697.72,55665.27254,55665.27254
2020-05-29,67705.231248,9575.87,67913.030304,9605.26,65966.832,9330.0,66653.155728,9427.07,57374.362961,57374.362961
2020-05-28,65076.456528,9204.07,68055.923088,9625.47,64411.344,9110.0,67705.372656,9575.89,74110.787662,74110.787662
2020-05-27,62509.4064,8841.0,65224.44,9225.0,62302.455792,8811.73,65076.456528,9204.07,68910.355514,68910.355514
2020-05-26,62929.03464,8900.35,63758.533968,9017.67,61512.48,8700.0,62510.679072,8841.18,58299.770138,58299.770138
2020-05-25,61640.737056,8718.14,63489.788064,8979.66,61107.487488,8642.72,62929.03464,8900.35,62833.910949,62833.910949
2020-05-24,64899.272304,9179.01,65740.5792,9298.0,61512.48,8700.0,61656.291936,8720.34,70379.86645,70379.86645
2020-05-23,64835.568,9170.0,65810.22264,9307.85,64128.528,9070.0,64900.26216,9179.15,43526.296966,43526.296966
2020-05-22,64110.922704,9067.51,65549.6784,9271.0,63163.559808,8933.52,64835.568,9170.0,58943.131024,58943.131024
2020-05-21,67249.614672,9511.43,67723.614288,9578.47,62325.576,8815.0,64118.98296,9068.65,108928.780969,108928.780969
2020-05-20,69114.079152,9775.13,69586.8768,9842.0,65938.5504,9326.0,67249.614672,9511.43,74923.73809,74923.73809
2020-05-19,68822.778672,9733.93,69977.233584,9897.21,66984.9696,9474.0,69116.907312,9775.53,78539.760454,78539.760454
2020-05-18,68449.320144,9681.11,70350.48,9950.0,66915.891792,9464.23,68822.778672,9733.93,82006.603583,82006.603583
2020-05-17,66326.079024,9380.81,69912.1152,9888.0,65910.97584,9322.1,68441.754816,9680.04,68647.764323,68647.764323
2020-05-16,65867.563584,9315.96,67790.9952,9588.0,65189.088,9220.0,66329.331408,9381.27,59587.627862,59587.627862
2020-05-15,69233.144688,9791.97,69612.471648,9845.62,64694.16,9150.0,65870.815968,9316.42,115890.761516,115890.761516
