episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2
0,3,-0.04007119471795332,-17.541531803796445,0.11618500657717644,0.001627187672494549,0.0,0.0,0.0,0.0,0.0
0,13,-0.09242975799602383,-1.2463243762978102,-3.909387405918835,0.00012516828249958069,0.5824801352227635,0.0,0.0,0.0,0.0
0,20,-0.024930018640514487,-2.577979556570728,-0.17516083955522846,6.258414124979035e-06,0.029124006761138178,0.6051609081853859,0.0,0.0,0.0
1,29,-1.7379368199732126,-0.07595661365476121,-1.7352950252900377,64.14459001661625,0.0010042760952116614,0.020867617523634,0.0,0.0,0.0
1,40,-0.07840487504686604,0.0330575392061667,-1.2996753610419742,1.6036147504154061,0.004341466002373017,0.00052169043809085,0.0,0.0,0.0
1,47,-0.016145487970478222,-0.032545950168890496,-1.0988032900312867,0.034119462774795876,9.237161707176632e-05,55.30828512873955,0.0,0.0,0.0
2,54,-0.011778863224323153,0.010877169925445953,-0.983736236528047,0.0069967723925049245,1.710585501329006e-06,1.0242275023840657,0.0,0.0,0.0
2,63,-0.011223441842607203,0.017535230641093056,-0.8544168747318744,0.00011105987924610992,1.2825498979401394e-05,0.016257579402921676,0.0,0.0,0.0
2,74,-0.010097299469972874,-0.6769523166350131,-0.0016005426458984996,1.5008091790014853e-06,1.7331755377569452e-07,0.0007072910252536678,0.0,0.0,0.0
3,77,-0.0037284551967694903,-0.6899525508433896,0.0048801287944515844,3122805.9903909937,2.2508773217622666e-09,9.185597730567115e-06,0.0,0.0,0.0
3,79,-0.0017138641049541665,-0.0070669081234022765,-0.6522469473171882,39529.18975178473,0.0001478640668420469,1.1627338899452044e-07,0.0,0.0,0.0
3,95,-0.007620806742191828,-0.5204402066358944,0.0007370087272219088,416.096734229313,1.5564638614952304e-06,0.0018710458680474657,0.0,0.0,0.0
4,98,-0.5125012813104476,0.00014627924863377798,0.0022269568409071226,4.245885043156256,1.5882284300971738e-08,1.9092304775994548e-05,0.0,0.0,0.0
4,102,-0.008203801126974816,-0.49952152501489955,0.0032117617990650867,0.04162632395251231,25.840680491269598,1.8717945858818185e-07,0.0,0.0,0.0
4,104,-0.0003597901552068669,-0.49827949716201275,0.0003117897770538887,0.000400253114928003,0.24846808164682305,0.0024575453710262056,0.0,0.0,0.0
5,116,-0.007866714620802151,0.0027702740785408245,-0.43223621288930736,3.4504579277859587e-06,0.002141966221093302,2.118573595712246e-05,0.0,0.0,0.0
5,125,-0.002280675870727794,-0.4125613174256755,-0.004419934071507509,2.760366342228767e-08,21.111777746630768,1.694858876569797e-07,0.0,0.0,0.0
5,131,-0.003066629811671568,-0.00010010296158341867,-0.39887669690029814,2.1071498795639442e-10,0.16115860875290663,20.41029399049831,0.0,0.0,0.0
6,133,-0.0014588824178042848,-0.3895488776985674,-0.0015632478582255627,1.7702868209974785e-12,0.0012117188628038094,0.15346085707141588,0.0,0.0,0.0
6,136,-0.0011037414081117504,-0.3851283217514918,0.0031219627322327283,1.3016814860275578e-14,19.961297917635783,0.0011283886549368816,0.0,0.0,0.0
6,145,-0.35093342293837165,0.004118085278705356,0.006119755499227636,8.977113696741777e-17,0.13766412356990196,0.04647676072561379,0.0,0.0,0.0
7,149,-0.005914498531059446,-0.3446011107997336,0.002215163594094866,1.5836838660421412e-13,0.0009239202924154493,0.00031192456862828047,0.0,0.0,0.0
7,152,-0.0023775219359541662,-0.3379380843471829,-6.26834344963957e-05,1.0418972802908823e-15,16.91802340575301,2.052135319922898e-06,0.0,0.0,0.0
7,175,-0.0044859710964790635,0.009459366231263812,-0.29169969695229603,5.9536987445193276e-18,0.09667441946144578,14.79401078933041,0.0,0.0,0.0
8,180,-0.2788422472677342,0.0010920994629274828,-0.023845065185187794,3.7408326706741774e-17,0.0005370801081191432,0.08218894882961339,0.0,0.0,0.0
8,189,-0.0047939832958003815,-0.26659682097374116,0.0031924631240917998,1.9792765453302527e-19,13.811324542565423,0.00043486216311964756,0.0,0.0,0.0
8,199,-0.0024910498596412384,-0.2584300984498463,0.0024830020195824015,9.946113293116848e-22,0.06940364091741419,0.00047329333972565804,0.0,0.0,0.0
9,203,-0.00142118576251843,0.00013585990877711194,-0.2508839183009581,4.899563199066606e-24,0.0003418898567360305,2.3314942843628474e-06,0.0,0.0,0.0
9,213,0.9382935468997808,-0.23665865792211702,-0.9394780779047737,2.300264412707327e-26,12.373219916373428,1.0945982555694119e-08,2.0,0.0,2.0
9,216,0.0035062321713496447,-0.0007061618530201365,-0.24647019394670783,1.064937228105244e-28,0.05728342553876587,12.246365581024964,2.0,0.0,2.0
10,238,-0.219444358569341,0.011554896984705288,0.008339467973646231,4.148318799237832e-14,0.00024068666192758769,0.05145531756733178,2.0,0.0,2.0
10,246,-0.2089038435710389,0.006062574764735025,0.004793661088942595,1.6863084549747286e-16,0.001223519760321365,0.00020916795759077958,2.0,0.0,2.0
10,254,-0.0040787131427347184,-0.20184535740470622,0.0032751297471359142,6.639009665254836e-19,4.817006930399075e-06,0.0016463859181059376,2.0,0.0,2.0
11,260,-0.002825674595225558,-0.1966686706078058,-0.1954545346806573,2.553465255868581e-21,1.8526949732304133e-08,6.332253531176683e-06,2.0,0.0,2.0
11,264,-0.0014212075599833516,0.0006655471614870209,-0.19947673556672474,9.67221687829008e-24,0.0009460170530026789,2.398580883021471e-08,2.0,0.0,2.0
11,273,-0.003693226270186843,0.0048375496100238604,-0.18435185372063712,3.542936585454242e-26,3.4652639304127434e-06,7.607839570926416,2.0,0.0,2.0
12,281,-0.18123525196046975,0.0033033812250243422,0.003790772709686696,1.2611672299170117e-28,1.2331900108230403e-08,0.02707416217411536,2.0,0.0,2.0
12,287,-0.0023821269496214297,-0.18049522403967666,0.0017638535027545896,4.394310905634187e-31,10.69919958280312,9.433505984012321e-05,2.0,0.0,2.0
12,290,-0.1728428234967923,-0.00020158116179149144,0.002054268665285889,1.5152796226324781e-33,0.036893791664838346,0.11655336694357878,2.0,0.0,2.0
13,305,-0.0024040582481506603,-0.16873471040617635,0.0019972453694801196,9.552330362083873e-12,0.00012096325136012572,0.0003821421867002583,2.0,0.0,2.0
13,321,-0.16104443159885312,0.004748049141986067,0.0059665134683255325,2.975803851116471e-14,0.6673367829438475,1.1904741018699637e-06,2.0,0.0,2.0
13,325,-0.15486610706407597,0.0010589325314195206,0.0005427903929051051,9.156319541896835e-17,0.0020533439475195307,0.15401394686280895,2.0,0.0,2.0
14,341,-0.006758434564620361,0.006307387131973272,-0.14462463235431294,1.8405491981663932e-12,6.021536502989826e-06,0.0004516538031167418,2.0,0.0,2.0
14,345,-0.0010089195465654668,-0.0012393328867857144,-0.14985809039946993,5.334925212076502e-15,0.15907659656253018,1.3091414583093965e-06,2.0,0.0,2.0
14,347,-0.0006149017575508392,-0.14777038051923114,0.00018012651274958434,1.5374424242295396e-17,0.00045843399585743564,0.06940288220761584,2.0,0.0,2.0
15,348,-0.14413762544171022,3.3070032868899477e-05,0.0006325238147405332,1.0620253595685778e-14,1.3173390685558496e-06,0.00019943356956211449,2.0,0.0,2.0
15,361,-0.14154422633647584,0.004979815566479741,0.0026425501546837,2.941898502960049e-17,0.3049931321567761,5.524475611138905e-07,2.0,0.0,2.0
15,375,-0.0035873557467537365,0.0032231839847004138,-0.13437755990446076,7.845062674560131e-20,0.0008133150190847363,8.018662955854925,2.0,0.0,2.0
16,383,-0.0014003427908546601,-0.13289197376065545,0.001733518788057965,9.384551655087573e-11,2.1235379088374314e-06,0.02093645680379876,2.0,0.0,2.0
16,389,-0.0020670471757135767,-0.12992257955010297,0.0020679036692796524,2.412481145266728e-13,6.903735598973884,5.3821225716706324e-05,2.0,0.0,2.0
16,393,-0.0002396895803313671,-0.1314674496303455,0.00023969175970430879,6.138628868363176e-16,0.017566757249297415,0.005889225893263518,2.0,0.0,2.0
17,401,-0.1271025547844273,0.0020858287514829814,-0.0022537712988734628,1.5308301417364625e-18,4.3807374686527216e-05,1.468634886100628e-05,2.0,0.0,2.0
17,403,-0.0010949724083771225,-0.13047837928460157,0.0007739889689644654,3.7985859596438274e-21,6.782259955039197,3.644255300497836e-08,2.0,0.0,2.0
17,405,-0.12421961722463545,0.0005110630897613199,0.0007620345494764127,9.379224591713153e-24,0.016746320876639992,0.003952333010877095,2.0,0.0,2.0
18,421,-0.003865001021577567,-0.11862502678514365,0.004538619730507214,2.2278443803643254e-26,3.977748426755342e-05,9.387964396382648e-06,2.0,0.0,2.0
18,431,-0.0009489756606729271,0.0006647760601932956,-0.11712073844904669,5.169012483443911e-29,0.006340990414238191,2.178181994520336e-08,2.0,0.0,2.0
18,448,-0.0023127318474432967,0.0016478311828956314,-0.11262323130819198,1.1537974293401588e-31,1.4153996460353104e-05,5.94766916426359,2.0,0.0,2.0
19,450,-0.00017439676479961272,-0.11359186818494578,-8.101648665735455e-05,5.769728294230532e-34,3.145332546745134e-08,0.013217042587252422,2.0,0.0,2.0
19,461,-0.0005751600532191038,0.00032837856742789904,-0.10993221294708502,1.2515679597029354e-36,0.008388922790214881,2.8670374375818705e-05,2.0,0.0,2.0
19,470,-0.0028016390275850166,0.002801113960593972,-0.1083310172502143,2.662910552559437e-39,1.7848771894074214e-05,5.680855919831019,2.0,0.0,2.0
20,476,-0.0019798938284529273,-0.00399269666616493,-0.10794820094512536,4.2971453542450785e-34,3.7497419945534064e-08,0.011934571260149199,2.0,0.0,2.0
20,482,-0.0002397327147534434,0.0010027511112451917,-0.10677245125027729,8.915239324159914e-37,0.0059109604723493695,2.4760521286616595e-05,2.0,0.0,2.0
20,484,-0.0004320216686154134,0.00044208081343921775,-0.10645660814035886,1.8419915959008086e-39,1.2212728248655723e-05,5.386096677457116,2.0,0.0,2.0
21,495,-0.002834929625164394,-0.10019847219988602,0.002709541751453751,4.930539315338554e-34,2.4672178280112573e-08,0.010881003388802256,2.0,0.0,2.0
21,497,-0.10102972273286932,0.0002466541431273337,0.00042584871300271274,9.92060224414196e-37,1.465894807714218e-06,2.1893366979481402e-05,2.0,0.0,2.0
21,503,-0.0013923921213379895,-0.10164479678987115,0.0015561503269060182,1.9722867284576462e-39,2.9143037926724017e-09,1.976040535706423e-05,2.0,0.0,2.0
22,521,-0.002361741996868013,-0.006120110267698002,-0.09655435431038079,8.019590052671365e-34,5.59367330647294e-12,3.79278413763229e-08,2.0,0.0,2.0
22,530,-0.09484678362888034,-0.09673662013917436,0.002006230364985366,1.5131301986172387e-36,4.9768536821963165,7.156196486098661e-11,2.0,0.0,2.0
22,533,-0.0943104141159182,0.00014234018764793134,0.00042908129929657504,2.8388934308015737e-39,0.00933743655196307,0.00024368380285469976,2.0,0.0,2.0
23,538,-0.0005762646168744189,0.00040123102221220646,-0.09538302392744491,3.859511852607758e-34,1.735583002223619e-05,4.529438714771371e-07,2.0,0.0,2.0
23,550,-0.09219287830444753,0.0034331320285941407,0.0011093159616396848,7.017294277468651e-37,0.00034476743538005715,8.235343117766129e-10,2.0,0.0,2.0
23,565,-0.09209876017171986,0.0034535563088550067,0.0036369359770574107,1.2419989871625931e-39,6.102078502301897e-07,0.00040821171047866035,2.0,0.0,2.0
24,578,-0.0014912268391863302,0.0018874112135563556,-0.08815238310965177,4.387544189996245e-34,1.0557229242736846e-09,7.062486340461252e-07,2.0,0.0,2.0
24,583,-0.0009071345051091437,-0.09119667561889479,0.0011373219251771532,7.525804785585326e-37,4.409874372056025,1.2114041750362353e-09,2.0,0.0,2.0
24,588,-0.0006219648175071887,-0.08746854775800955,0.000622356292711386,1.2798987730587289e-39,0.0074997863470340565,0.0015521320760275255,2.0,0.0,2.0
25,602,-0.08406111463237434,0.0020391535806881696,0.0010046368773497733,3.7471572994950975e-32,1.24581168555383e-05,2.5782924850955573e-06,2.0,0.0,2.0
25,619,-0.0827482894676147,0.0018403379958025962,0.0036697652657349425,6.053565911946846e-35,0.004377353023154557,4.165254418571175e-09,2.0,0.0,2.0
25,630,-0.0016854912202774765,-0.08138253344413612,0.0018925291770591132,9.60883478086801e-38,6.94817940183263e-06,0.003104643303842328,2.0,0.0,2.0
26,639,-0.0014496522568137305,0.0013196553481057281,-0.07881719868156534,3.3629752264353325e-34,1.0873520190661393e-08,4.858596719628056e-06,2.0,0.0,2.0
26,643,-0.07842671044265953,0.0010979921328492595,0.0005413809699715411,5.230132545000517e-37,0.0015699130985833338,7.55613797764861e-09,2.0,0.0,2.0
26,645,-0.0003840650353443949,0.00026417554959275104,-0.08063219363811902,8.10873262790778e-40,2.433973796253231e-06,2.4603782530195772,2.0,0.0,2.0
27,653,-0.001289307271335129,-0.07709031845752173,0.0011652394938872525,3.3693395305397245e-34,3.727371816620568e-09,0.0037678074318829666,2.0,0.0,2.0
27,661,-0.000916045515124286,0.0007974681690897068,-0.0765084574141378,5.0973366573974655e-37,0.014128957846586613,5.700162529323701e-06,2.0,0.0,2.0
