episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2
0,8,-6.49029827336736,-0.2402982733673602,0.05340725628796786,123.27124214518676,0.0,0.0,0.0,0.0,0.0
0,22,-0.3906242781811758,-0.10653336909026673,-2.2533448858292284,5.603238279326671,53.09085416426458,0.0,0.0,0.0,0.0
0,26,-1.9760875859977647,-0.042084089494268104,-2.019960589322834,0.21550916458948735,2.0419559293947915,102.76700502098355,0.0,0.0,0.0
1,2,-0.09333724516943431,-1.8099799774371665,-0.04937876109201563,5.370922531599881,0.07292699747838541,3.670250179320841,0.0,0.0,0.0
1,8,-0.0110643553736609,-0.06155384749918243,-1.5109417798983031,0.15796830975293766,5.667716605234962,0.1079485346859071,0.0,0.0,0.0
1,13,-0.024863446539410573,-0.026158048901603434,-1.3544560072252072,0.004050469480844555,0.14532606680089646,112.24193814484387,0.0,0.0,0.0
2,7,-0.03994562284751555,-0.03997376637712844,-1.1143418889044485,0.0020201250953943567,0.003159262321758619,2.4400421335835625,0.0,0.0,0.0
2,11,-1.020485494827193,-1.0204860576977854,-0.0026002554078461792,4.0402501907887136e-05,54.9451223024407,0.04880084267167125,0.0,0.0,0.0
2,22,-0.04987710402329156,-0.049877113250678326,-0.8152184587764313,6.623360968506088e-07,0.9007397098760771,53.4919216864195,0.0,0.0,0.0
3,32,-0.060552360305765336,-0.5981867690071351,0.04598980789409635,2343.0278313030785,0.009685373224473947,0.575181953617414,0.0,0.0,0.0
3,63,-0.04665591628922132,-0.050991677649716245,-0.3685221557964686,18.89538573631515,104.88320316279248,0.004638564142075919,0.0,0.0,0.0
3,105,-0.06241185061569213,-0.06243796966003245,-0.2660262279433082,0.11382762491756114,0.6318265250770632,117.13160389452614,0.0,0.0,0.0
4,29,-0.037263165563369983,-0.29367355591744354,0.027858482306315352,152.2951483784288,0.003240136026036221,0.6006748917668007,0.0,0.0,0.0
4,30,-0.001120621278394743,-0.257530878372038,0.0010726382005526276,0.777016063155249,14.52564340308908,0.003064667815136738,0.0,0.0,0.0
4,43,-0.25122321229400973,-0.013215605868620509,0.011319731143235562,0.003717780206484445,0.0695006861391822,16.16141800092058,0.0,0.0,0.0
5,2,-0.0033301345581581497,-0.23916896106799043,0.0021931512351686983,9.075534730255749,0.00032938713810038957,0.07659439810862834,0.0,0.0,0.0
5,18,-0.013440813451488419,-0.23474406819382249,0.013435804714382741,0.039980329208175104,36.84178196501663,0.0003374202559851469,0.0,0.0,0.0
5,26,-0.00621412483184068,-0.21992179825627617,0.006214103518065762,0.0001701290604603196,0.1567735402766665,4.173024482199055,0.0,0.0,0.0
6,3,-0.0021374641514682598,-0.21311942916585663,-0.010129870928825944,3.255935909639443,0.0006587123541036408,0.017533716311760733,0.0,0.0,0.0
6,9,-0.004326899815793412,-0.00519158000027861,-0.2049477536291058,0.013343999629669848,0.9001418376818896,7.185949308098661e-05,0.0,0.0,0.0
6,15,-0.006217820976911624,-0.20622127969764956,-0.20106528097695942,5.337599851867939e-05,0.0036005673507275584,13.46124703057882,0.0,0.0,0.0
7,15,-0.005043480570300576,-0.19447745588622792,-0.1882541604949801,12.053705800744641,1.3587046606519088e-05,0.05079715860595781,0.0,0.0,0.0
7,19,-0.0040866884309311065,-0.004790903952551654,-0.1884767956380543,0.04480931524440387,0.5633076897322024,0.00018883702083999184,0.0,0.0,0.0
7,25,-0.1870954675237098,-0.005279846489242972,0.004577054854368041,0.00016294296452510498,0.0020483915990261903,0.7008786705940067,0.0,0.0,0.0
8,16,-0.010064320944700488,-0.009439524996128434,-0.1705158053356988,8.870142736818117,7.0391463884061525e-06,0.002408517768364284,0.0,0.0,0.0
8,24,-0.007192293516064059,-0.1744142841650655,0.006588346605427273,0.029666029220127482,9.350876259944858,8.0552433724558e-06,0.0,0.0,0.0
8,26,-0.001183722759385388,-0.16785223435622593,0.0011817162912437377,9.85582366117192e-05,0.031066034086195543,0.00966494043539644,0.0,0.0,0.0
9,17,-0.009382906895108427,-0.009907021711450694,-0.15118751972829622,6.706543696065305,9.769193108866523e-05,3.03928944509322e-05,0.0,0.0,0.0
9,22,-0.002787195555021792,-0.15758757981141913,0.0022900734911722423,0.02076329317667277,8.895814048479552,9.409564845489845e-08,0.0,0.0,0.0
9,35,-0.15766482563033665,-0.009316017250147343,0.008853822290860893,6.17955154067642e-05,0.026475637049046288,0.28711511804573614,0.0,0.0,0.0
10,6,-0.004976233910789781,-0.1507412958745904,0.004541114017984297,0.14625492679601584,7.7414143418264e-05,0.0008395178890226203,0.0,0.0,0.0
