episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2
0,4,-13.007645927915606,-0.5076459279156063,-0.02037647446896859,2.0205452666141275,0.20220480731349558,1.3681523425289281,0.0,0.0,0.0
1,1,-13.761256935244607,-1.2612569352446066,-51.85477360436322,4.090377878433046,0.5191636928276745,3.9711278032157753,0.0,0.0,0.0
2,2,-7.171997727283337,-0.9219977272833372,-51.953884735224285,3.948565816455435,0.423103363180972,4.2989162941284,0.0,0.0,0.0
3,2,-4.2168852798013186,-26.09188527980132,-51.82287603021145,4.106245622368197,0.4037865589137939,3.3829070346421606,0.0,0.0,0.0
4,6,-9.599403311508294,-4.911903311508294,-8.073890240160502,2.7133127268994968,0.2995223761818397,1.903737244959934,0.0,0.0,0.0
5,7,-1.8059752527823094,-1.1363323956394538,-8.131820344576635,2.356785945548292,0.2619301014340157,1.7048296046283795,0.0,0.0,0.0
6,3,-1.1060293073363578,-0.8828150216220726,-19.306172591512706,2.8201333012845438,0.27388032339226037,1.721538374737191,0.0,0.0,0.0
7,2,149.21587799940428,124.32748514226142,-185.0869522898757,-46.69561870521422,-49.720189925611585,53.106373085877195,0.0,3.0,3.0
8,10,9.520773261142898,12.031933975428618,-18.23249842607153,-2.719310005066034,-4.772701334935002,7.089741740966192,0.0,3.0,3.0
9,1,8.771211722635053,11.282372436920774,-69.62850482818175,-0.6519962494558529,-4.456872863454267,9.746663420772142,0.0,3.0,3.0
10,5,1.1746475333699888,1.6768796762271332,-23.68567825197861,1.8766740254454866,-0.6323905572704847,3.826824016128404,0.0,3.0,3.0
11,6,-8.41835773564718,-8.334652378504323,-3.6769084732871797,2.2245739746228748,0.05432860857015764,2.3725725408810705,0.0,3.0,3.0
12,1,-8.689742401054525,-8.606037043911668,-54.461411124704476,4.3136415615623305,0.05432860857015764,2.3725725408810705,0.0,3.0,3.0
13,2,-4.812160717712202,-4.770308039140773,-52.58636093997329,4.161420751101085,0.2807947472260241,2.0023351054979877,0.0,3.0,3.0
14,5,-1.5175513437480639,-11.50918080803378,-9.962152987789034,2.8636472342194974,0.279428165272435,1.683604417804777,0.0,3.0,3.0
