episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2
0,4,-12.804855352625616,0.4060843668470419,-0.38794464661467765,-1.295922132037377,-0.24924904798101985,-0.006114079686183655,0.0,0.0,0.0
1,1,-62.90734387583416,0.5085728900555824,-0.22720757795270616,-2.611327927299271,-0.24924904798101985,-0.006114079686183655,0.0,0.0,0.0
2,3,-21.12806376707573,-17.431411575088266,-0.16340086047739397,-2.2204311319248373,-0.009123155965961032,-0.15640113365632036,0.0,0.0,0.0
3,1,-21.34813664243293,-17.211338699731066,-51.65758588772941,-3.527074159070443,-0.2873862686285795,-0.15640113365632036,0.0,0.0,0.0
4,8,-2.882421397580232,-8.362165040804218,-6.2769139437295145,-1.7843501651569773,-0.16454522351857204,-0.2276866076854106,0.0,0.0,0.0
5,4,-13.368294198136935,-1.8247514565000722,-1.4215396371905002,-1.8048618358318733,-0.24814884846908747,-0.2234146178316392,0.0,0.0,0.0
6,14,-1.1329065179678939,-3.6818854716301823,0.0851604011659145,-1.484906541360792,-0.1986678075502179,-0.2287261714646464,0.0,0.0,0.0
7,12,24.81193592817733,-4.517558803488028,-24.899248104577495,-9.842586196190698,-0.13852087399586596,8.134706394814394,3.0,0.0,3.0
8,4,5.7330189659919135,-13.806101121155276,-5.754847010091955,-3.6904383206970177,-0.17511497647951535,1.7705169894491062,3.0,0.0,3.0
9,3,1.7045417422905966,-4.837923493707162,-18.859182959053467,-2.558969391378168,-0.22927931044772965,0.5866506648195647,3.0,0.0,3.0
10,3,0.2906125890469617,-1.3350731728524838,-23.202394181890952,-2.1662852113201834,-0.349252037161126,0.07440283691297521,3.0,0.0,3.0
11,9,-0.16480136015234398,0.04875018417395263,-7.9269977905391515,-1.5874301821459778,-0.2522489939463521,-0.19539845428721486,3.0,0.0,3.0
12,2,-0.23264029518259915,0.24861878763848283,-29.360042923929782,-2.13584360913181,-0.2676472988870143,-0.17177264446997115,3.0,0.0,3.0
