episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
0,15,-33.40808021849549,0.0747468851621611,-0.06666666666666667,-0.06666666666666667,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
1,16,-31.368473268729016,0.11847326872901348,-0.0625,-0.0625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
2,16,-0.05101672930857572,-31.318176735803924,-0.0625,-0.0625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
3,16,-0.0889571455589825,-31.245760780932077,-0.0625,-0.0625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
4,21,-0.058743561283620925,-23.827611810924704,-0.047619047619047616,-0.047619047619047616,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
5,36,-13.987753810847707,-0.14005694920291462,-0.027777777777777776,-0.027777777777777776,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
6,8,-62.65026096098153,0.1502609609815252,-0.125,-0.125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
7,22,-22.881736639182567,-22.79019227105473,-0.045454545454545456,-0.045454545454545456,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
8,6,-83.39040635259667,0.05707301926334151,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
9,6,-83.38782740961972,0.05449407628637754,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
10,9,-55.65068450221,0.09512894665443929,-0.1111111111111111,-0.1111111111111111,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
11,9,-55.65369500763439,-55.59910063001302,-0.1111111111111111,-0.1111111111111111,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
12,14,-0.08255914312430314,-35.83933448623968,-0.07142857142857142,-0.07142857142857142,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
13,3,-0.1378585398332763,-167.13754256590633,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
14,15,-0.07893706021008652,-33.38804754659934,-0.06666666666666667,-0.06666666666666667,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
15,8,-62.566554684908255,0.06655468490825603,-0.125,-0.125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
