episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1
0,14,-0.11777911844248401,-3.5832323332202494,0.039243820725604436,0.0,0.0,0.0
0,34,-0.03245328527073982,-1.6105718727331122,0.001154230021341307,75.81864695142899,0.0,0.0
1,4,-0.021163620679760405,-1.3966401245519218,0.0660689970834415,1.9952275513533944,0.0,0.0
1,9,-0.011463202009454257,-1.2183320662959831,0.0015364883042660812,61.08338767669461,0.0,0.0
2,14,-0.9053300636359409,-0.001679417613198371,0.002082831524341955,1.071638380292888,0.0,0.0
2,16,-0.020004560612979023,-0.8656743087756695,3.5302229226134834e-05,0.01816336237784561,0.0,0.0
3,2,-0.8207500880146698,-0.013441368860553886,5.787250692808989e-07,0.0002977600389810756,0.0,0.0
3,5,-0.8015133552456185,0.007229113731943192,9.042579207514046e-09,4.652500609080533e-06,0.0,0.0
4,16,-0.026703136935955784,-0.6316192081999294,1.1303224009392558e-10,5.8156257613506666e-08,0.0,0.0
4,23,-0.00662868640480532,-0.5909762480775146,1.2992211505048916e-12,6.684627326081321e-10,0.0,0.0
5,9,-0.013562816780016638,-0.530508764603231,1.353355365109262e-14,6.963153464668042e-12,0.0,0.0
5,19,-0.4816592868457765,0.00482842287046293,1.2767503444427002e-16,6.569016677930812e-14,0.0,0.0
6,7,-0.015222506634944235,-0.4506795036375397,1.129867561453717e-18,5.813289095513993e-16,0.0,0.0
6,20,-0.01334782758173801,-0.3951654913291426,8.967202868680293e-21,7.532388562747678e-18,0.0,0.0
7,12,-0.36678553865086944,0.001506456629776079,6.497973093246589e-23,5.458252581701216e-20,0.0,0.0
7,17,-0.006044241610233634,-0.3627625398913867,4.544037128144467e-25,2.4405519286844064e-18,0.0,0.0
8,9,-0.3348771513176366,0.0035034224919680973,2.98949811062136e-27,1.60562626887132e-20,0.0,0.0
8,29,-0.01354100774752581,-0.29436201412845464,1.7380802968728838e-29,1.334624961470816e-18,0.0,0.0
9,17,-0.0069529575606200565,-0.26675838344756664,9.196192046946475e-32,7.06150773264982e-21,0.0,0.0
9,25,-0.25712175961443573,0.0019252553453586656,4.66811779032816e-34,6.1604522665426026e-21,0.0,0.0
10,8,-0.24896343729764606,0.0038161372768212745,2.277130629428371e-36,3.0050986666061475e-23,0.0,0.0
10,17,-0.23924182015491643,0.004451412210893903,1.0640797333777433e-38,5.569664655784024e-24,0.0,0.0
11,5,-0.2328630561401443,0.003480451537660174,4.858811567934902e-41,2.5432258702210157e-26,0.0,0.0
11,18,-0.22057843294455026,0.004072473441953367,2.0943153310064232e-43,1.672955436902562e-24,0.0,0.0
12,11,-0.2110254488384834,0.004373160939295748,8.61858160907993e-46,6.884590275319185e-27,0.0,0.0
12,24,-0.19983268876852875,0.0037129532689225654,3.366633441046848e-48,1.6391357781319087e-24,0.0,0.0
13,7,-0.19222062259303369,-0.19673916093661611,1.2800887608543148e-50,6.232455430159349e-27,0.0,0.0
13,13,-0.001803290804873847,-0.19010176702568,4.758694278268829e-53,1.0119348747131729e-18,0.0,0.0
14,2,-0.0014301501970562073,-0.19066189009855256,1.755975748438682e-55,3.734077028461893e-21,0.0,0.0
14,4,-0.0009609309645546025,-0.18888696851910045,6.432145598676491e-58,3.479589453701036e-18,0.0,0.0
15,13,-0.0032419986286565242,-0.17582088979274824,2.2490019575791928e-60,1.2166396691262366e-20,0.0,0.0
15,16,-0.0016056035874190073,-0.1801478654413061,7.78201369404565e-63,1.2430723881267598e-18,0.0,0.0
16,5,-0.003279885568898024,-0.17702078599473958,2.6469434333488606e-65,4.228137374580816e-21,0.0,0.0
16,25,-0.003299625122913701,-0.16140004039251493,8.429756157161977e-68,5.44443498080631e-19,0.0,0.0
17,3,-0.0012884854045369996,-0.1633836351297185,2.6592290716599296e-70,1.7174873756486782e-21,0.0,0.0
17,21,-0.003633809349496021,-0.15033242638087937,7.937997228835611e-73,6.336672287238099e-19,0.0,0.0
18,19,-0.14657618333611497,0.004898312613712778,2.242372098541133e-75,1.7900204201237565e-21,0.0,0.0
18,26,-0.0037460114149821394,-0.14082211186060087,6.211557059670728e-78,7.28981252643151e-19,0.0,0.0
19,14,-0.0017404622456136786,-0.1347495378765307,1.656415215912194e-80,1.9439500070484028e-21,0.0,0.0
19,18,-0.13346492728390322,0.0011786739854279039,4.370488696338243e-83,4.8005363715478636e-21,0.0,0.0
20,6,-0.0022744302367108727,-0.13234292283028923,1.1351918691787643e-85,1.2468925640384062e-23,0.0,0.0
20,14,-0.12869444337586747,0.0011254424774781314,2.8885289292080515e-88,6.714310542162571e-25,0.0,0.0
21,10,-0.12603245547714972,0.0016464281796351075,7.167565581161418e-91,1.6660820203877348e-27,0.0,0.0
21,13,-0.0013688440086426078,-0.12763191807831295,1.765410241665374e-93,8.577141492923194e-19,0.0,0.0
22,14,-0.002565797030047158,-0.11921854021011499,4.203357718250891e-96,2.0421765459340937e-21,0.0,0.0
22,27,-0.11762510621040449,0.0018704079719745435,9.707523598731849e-99,6.918677355662018e-21,0.0,0.0
23,9,-0.003739617934490709,-0.11460618654586571,2.1962723074053957e-101,1.5653116189280585e-23,0.0,0.0
23,26,-0.11229258640045306,0.0027686865759230803,4.78490698781132e-104,1.0117329007078638e-23,0.0,0.0
24,12,3.077827760446741,-3.1854684036022105,1.0159038190682207e-106,2.1480528677449338e-26,3.0,3.0
24,28,0.004004492031789826,-0.11074266065744989,2.086044803014827e-109,2.450558116749867e-19,3.0,3.0
25,13,-0.10297538762254119,0.0023261022500702267,4.172089606029654e-112,4.901116233499734e-22,3.0,3.0
25,16,-0.0010238506648173383,-0.10305148371774932,8.294412735645435e-115,5.529460410095634e-19,3.0,3.0
26,5,-0.0007130411205579802,-0.10243623976137109,1.632758412528629e-117,1.0884764586802429e-21,3.0,3.0
26,18,-0.09848217050118539,0.0023148974092815056,3.133893306196985e-120,2.971055398549299e-20,3.0,3.0
27,1,-0.09624524675031967,0.0002755776447796267,6.003627023365872e-123,5.691677008715132e-23,3.0,3.0
27,6,-0.0009508761807910858,-0.0967822100808373,1.1392081638265412e-125,7.973992710768057e-19,3.0,3.0
28,6,-0.0958390947592795,0.0018471002259556337,2.1373511516445426e-128,1.4960586699377217e-21,3.0,3.0
28,18,-0.09343777307308047,0.0015221914317349369,3.9217452323753075e-131,2.927256105556764e-20,3.0,3.0
29,5,-0.0011917724732778575,-0.09171618913906153,7.130445877046014e-134,5.322283828285025e-23,3.0,3.0
29,11,-0.0016120695522553292,-0.09121307019977207,1.2824542944327363e-136,4.718073346484228e-19,3.0,3.0
30,12,-0.09179502074225439,-0.0012174940022516949,2.257842067663268e-139,8.306467159303219e-22,3.0,3.0
30,21,-0.08910923513042993,-7.892279789171712e-05,3.913071174459736e-142,4.775836327682907e-21,3.0,3.0
31,2,-0.00039487952225062534,-0.08853283594337465,6.758326726182618e-145,8.248421982181186e-24,3.0,3.0
31,9,-0.0866937075342629,0.0012177216716935879,1.1532980761403786e-147,1.5202147899438363e-23,3.0,3.0
32,14,-0.08429035376338684,0.0003795246413963564,1.9221634602339642e-150,2.5336913165730606e-26,3.0,3.0
32,26,-0.0034041971659557876,-0.08119649275521407,3.140789967702556e-153,3.4989307397801263e-19,3.0,3.0
33,4,-0.0008736750714849891,-0.08344382797610819,5.098685012504149e-156,5.680082369772932e-22,3.0,3.0
33,21,5.5288429243690755,-5.610147969097444,8.054794648505765e-159,3.2530779604000676e-16,10.0,10.0
34,8,0.007349495250226004,-0.0882625869059461,1.2565982290960631e-161,5.075004618408842e-19,10.0,10.0
34,12,-0.07798027530831043,0.0003354488096193932,1.948214308676067e-164,7.119361684302784e-21,10.0,10.0
35,11,-0.07789195655068867,0.0015540833395626262,2.9698388851769314e-167,1.0852685494364e-23,10.0,10.0
35,27,-0.002465266531419754,-0.07374575974433288,4.4194031029418625e-170,7.317131279677699e-19,10.0,10.0
36,5,-0.0015119288595439521,-0.07463603129775793,6.527921865497581e-173,1.0808170280173854e-21,10.0,10.0
36,22,-0.0008121721342844764,-0.07352992098521145,9.406227471898532e-176,4.407447655674203e-19,10.0,10.0
37,4,-0.00037614185873149496,-0.07351607098409366,1.347597059011251e-178,6.314394922169345e-22,10.0,10.0
37,16,-0.0013042588363430733,-0.0708618791357342,1.89802402677641e-181,3.1360550629658353e-19,10.0,10.0
38,10,-0.07102764617850196,0.0014829709868740733,2.636144481633903e-184,4.355632031896993e-22,10.0,10.0
38,29,-0.0007792297499758963,-0.07010968287118562,3.5671779183138065e-187,3.281912964096554e-19,10.0,10.0
39,17,-0.06779655270985344,-0.06706523288881677,4.718489309938898e-190,4.341154714413431e-22,10.0,10.0
39,31,-0.0021542894039305108,-0.06524928960416747,6.127908194725841e-193,3.404549562721651e-19,10.0,10.0
40,15,1.2735101584658601,-1.338568340608446,7.806252477357759e-196,4.337005812384269e-22,12.0,12.0
40,20,0.0007834897306105047,-0.06592523129455072,9.881332249819949e-199,2.3100703576348356e-19,12.0,12.0
41,5,-0.001001282730750873,-0.06375621139537563,1.2429348741911886e-201,2.905748877528095e-22,12.0,12.0
41,20,-0.0010907596135071548,-0.06283362548330935,1.5344874990014673e-204,3.221340048742409e-19,12.0,12.0
42,4,-0.06195439678673052,0.00045080417604647776,1.88511977764308e-207,3.957420207300257e-22,12.0,12.0
42,16,-0.0018222075394105528,-0.06208434751613388,2.2822273337083292e-210,2.9604334517957257e-19,12.0,12.0
43,11,-0.0010560781902658582,-0.06042334310939705,2.7266754285643122e-213,3.5369575290271513e-22,12.0,12.0
43,19,-0.06061275521042188,0.0008956634436419411,3.226834826703328e-216,4.1107168245640464e-21,12.0,12.0
44,9,-0.05976565945477172,-0.001976710196614719,3.778495113235747e-219,4.8134857430492345e-24,12.0,12.0
