episode,steps,reward_0,reward_1,loss_0,loss_1,eps_greedy_0,eps_greedy_1,collisions_0,collisions_1
0,12,-4.322607446921951,0.0,-0.08333333333333333,-0.08333333333333333,0.5,0.5,12.0,12.0
1,6,-8.648930013308508,0.0,-0.16666666666666666,-0.16666666666666666,0.5,0.5,6.0,6.0
2,14,-0.10273696284586234,-3.7616570976371024,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
3,20,-2.7527725086065877,0.0,-0.05,-0.05,0.5,0.5,20.0,20.0
4,13,0.0,-4.027397144486485,-0.07692307692307693,-0.07692307692307693,0.5,0.5,13.0,13.0
5,34,-1.5789225395341342,0.0,-0.029411764705882353,-0.029411764705882353,0.5,0.5,34.0,34.0
6,10,-5.21103665226381,-0.039341121661945366,-0.1,-0.1,0.5,0.5,10.0,10.0
7,24,-0.14285919850667986,-2.1343453032090425,-0.041666666666666664,-0.041666666666666664,0.5,0.5,24.0,24.0
8,23,-2.2841148762330654,-0.0001897860633597701,-0.043478260869565216,-0.043478260869565216,0.5,0.5,23.0,23.0
9,27,-0.002425394377404904,-1.9137937004162913,-0.037037037037037035,-0.037037037037037035,0.5,0.5,27.0,27.0
10,2,0.0,-25.701257733876037,-0.5,-0.5,0.5,0.5,2.0,2.0
11,22,-2.3794792537019247,0.0,-0.045454545454545456,-0.045454545454545456,0.5,0.5,22.0,22.0
12,5,-10.276580174681381,0.0,-0.2,-0.2,0.5,0.5,5.0,5.0
13,12,0.0,-4.30238456983188,-0.08333333333333333,-0.08333333333333333,0.5,0.5,12.0,12.0
14,9,-5.7197398372331545,-0.329840430174508,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
15,31,-1.7257346705151435,0.0,-0.03225806451612903,-0.03225806451612903,0.5,0.5,31.0,31.0
16,9,-5.982506546917738,0.0,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
17,4,0.0,-12.752529422095686,-0.25,-0.25,0.5,0.5,4.0,4.0
18,8,-6.4463349645854136,0.0,-0.125,-0.125,0.5,0.5,8.0,8.0
19,2,-25.923795862536664,-0.9587552092388474,-0.5,-0.5,0.5,0.5,2.0,2.0
20,26,-2.014061775144547,0.0,-0.038461538461538464,-0.038461538461538464,0.5,0.5,26.0,26.0
21,17,-3.025484609925315,-0.01158892380912014,-0.058823529411764705,-0.058823529411764705,0.5,0.5,17.0,17.0
22,9,0.0,-5.843639781886995,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
23,9,-5.7763716216455565,-0.06218627195995098,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
24,28,-1.8217294926974137,0.0,-0.03571428571428571,-0.03571428571428571,0.5,0.5,28.0,28.0
25,5,0.0,-10.441522916658034,-0.2,-0.2,0.5,0.5,5.0,5.0
26,11,0.0,-4.643851129106813,-0.09090909090909091,-0.09090909090909091,0.5,0.5,11.0,11.0
27,20,-2.606493067038282,-0.026544955064956466,-0.05,-0.05,0.5,0.5,20.0,20.0
28,17,-3.036892870805379,0.0,-0.058823529411764705,-0.058823529411764705,0.5,0.5,17.0,17.0
29,14,0.0,-3.73406062485257,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
30,16,-0.15071411739191914,-3.7134208447949804,-0.0625,-0.0625,0.5,0.5,16.0,16.0
31,8,-6.4872266413960125,0.0,-0.125,-0.125,0.5,0.5,8.0,8.0
32,15,-3.4002242006395176,0.0,-0.06666666666666667,-0.06666666666666667,0.5,0.5,15.0,15.0
