episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,eps_greedy_0,eps_greedy_1,eps_greedy_2,collisions_0,collisions_1,collisions_2
0,6,-0.03427615914185959,0.03427615914185959,-8.712094386659958,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
1,1,-0.14495780388057197,0.14495780388057197,-50.8494870712009,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
2,4,-0.12386917313079548,0.12386917313079548,-12.696253066876205,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
3,6,-0.05614161022771911,0.11947689003484552,-8.683388271429477,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
4,10,-5.060233503970149,0.06023350397014897,0.1709552647788333,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
5,1,-50.04809920108086,0.04809920108085941,0.18736914900028823,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
6,4,-12.652352244450139,0.1712838548380336,0.15235224445013856,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
7,4,-12.688882890684418,0.1942602106628543,-0.4314145608672819,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
8,16,-0.06616153920136222,0.06616153920136222,-3.378830372984876,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
9,2,-0.14114485548504035,-0.33884250071297356,-25.482364311243067,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
10,1,-0.03389401204552055,-51.217354945022976,-0.09088622266465346,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
11,13,-3.9463184903859707,0.10016464423212443,0.13911178953343997,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.5,0.5,0.5,0.0,0.0,0.0
12,19,-0.09585431477014769,0.10231787504481454,-2.874794634892054,-0.05263157894736842,-0.05263157894736842,-0.05263157894736842,0.5,0.5,0.5,0.0,0.0,0.0
13,2,-25.177520716577888,0.17752071657788807,0.19995459448059183,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
14,6,-8.4859795418669,0.1526462085335676,-0.035124301258455025,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
15,16,9.347261986733365,-12.472261986733365,0.1542094445243801,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,2.0,2.0,0.0
16,8,-6.369776096177745,-0.03243972734517745,0.1598901124483067,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
17,3,-0.06319559400196294,0.1519271781251574,-17.73030580155223,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
18,5,-0.06925155308599402,-10.875561259343801,0.12664098094309273,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
19,12,-0.07918646748989723,-4.2164777214650515,0.11817070981423099,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
20,10,-5.092345947018694,0.11891752483560003,0.09234594701869338,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
21,9,-0.057168178953524156,0.06108744552319426,-5.637705558094627,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.5,0.5,0.5,0.0,0.0,0.0
22,10,-0.05671502581548112,-5.1492106605139,-4.97920882341788,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
23,1,-50.02632898285062,-0.9324262263882237,-0.16212057806570115,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
24,6,-0.05798487795658513,0.05798487795658513,-8.893350794668981,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
25,4,-0.13507504199584242,-12.894834859486426,-0.07561053643586504,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
26,9,-5.6603835200698045,0.1048279645142492,0.16407623395305274,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.5,0.5,0.5,0.0,0.0,0.0
27,8,-0.08875511543083403,-6.317917454199898,-6.3454088319542725,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
28,9,-0.08978551306964802,0.03894268725192252,-5.680080641544865,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.5,0.5,0.5,0.0,0.0,0.0
29,16,-3.17795426875078,0.05295426875077983,0.06084742579528087,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
30,5,-0.05760496382243706,-10.184787957956825,0.05760496382243706,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
31,11,-0.062367316665742266,-0.3056892854470511,-4.587589797702818,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.5,0.0,0.0,0.0
32,14,-3.649743870160303,0.10600149236788982,0.0917046399781362,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,0.5,0.5,0.5,0.0,0.0,0.0
33,5,-0.1331281799233543,-10.802032545331134,0.1331281799233543,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
34,15,-3.422412391546538,-0.09010410098004601,-3.572070491346688,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,0.5,0.5,0.5,0.0,0.0,0.0
35,4,-0.0672111381474319,0.14959202614383127,-12.780201827505595,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
36,3,-0.14435399746921512,0.14709248736583452,-17.256585967020914,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
37,10,-5.054757414221439,0.08047376638511183,0.05475741422143805,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
38,2,-25.075262660779952,0.15671037768749996,0.07526266077994995,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
