episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
0,24,-20.96593016160784,0.0,-0.041666666666666664,-0.041666666666666664,24.0,24.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
1,15,0.0,-33.601399561646595,-0.06666666666666667,-0.06666666666666667,15.0,15.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
2,9,-55.93679736491333,0.0,-0.1111111111111111,-0.1111111111111111,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
3,5,0.0,-100.56042546993379,-0.2,-0.2,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
4,8,0.0,-62.82655433989868,-0.125,-0.125,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
5,5,-100.49383762685855,0.0,-0.2,-0.2,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
6,13,0.0,-38.58115798548657,-0.07692307692307693,-0.07692307692307693,13.0,13.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
7,2,0.0,-250.99864562332982,-0.5,-0.5,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
8,7,0.0,-71.63742771016501,-0.14285714285714285,-0.14285714285714285,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
9,6,-83.76418469206659,-83.58746167748093,-0.16666666666666666,-0.16666666666666666,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
10,11,-45.62218547898062,0.0,-0.09090909090909091,-0.09090909090909091,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
11,1,-501.01038018286334,0.0,-1.0,-1.0,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
12,2,-250.83014462350496,-0.1722392457423555,-0.5,-0.5,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
13,13,0.0,-38.57377884429421,-0.07692307692307693,-0.07692307692307693,13.0,13.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
14,3,0.0,-168.10719643377664,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
15,3,0.0,-167.60677923440332,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
16,7,-71.7215256839705,-0.05503600771400901,-0.14285714285714285,-0.14285714285714285,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
17,6,-83.76191804685313,0.0,-0.16666666666666666,-0.16666666666666666,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
18,4,-125.40588790978845,-125.46954779490466,-0.25,-0.25,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
19,3,0.0,-167.4695414662729,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
20,9,0.0,-55.70234470462893,-0.1111111111111111,-0.1111111111111111,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
21,5,-100.31136228724421,-100.29931527310097,-0.2,-0.2,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
22,14,-35.88253782915741,0.0,-0.07142857142857142,-0.07142857142857142,14.0,14.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
23,3,-167.32929370650868,-0.05725105455191559,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
24,8,-62.7401049913638,0.0,-0.125,-0.125,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
25,4,0.0,-125.38163046105363,-0.25,-0.25,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
26,16,-31.384761322510418,-31.387010771364444,-0.0625,-0.0625,17.0,17.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
27,6,-83.60038732986528,-0.17295212016376849,-0.16666666666666666,-0.16666666666666666,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
28,1,-501.0061179483784,0.0,-1.0,-1.0,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
29,2,0.0,-251.74234008884872,-0.5,-0.5,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
30,11,-45.77267747408385,0.0,-0.09090909090909091,-0.09090909090909091,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
31,7,0.0,-71.63021676607066,-0.14285714285714285,-0.14285714285714285,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
32,6,0.0,-83.65498828796215,-0.16666666666666666,-0.16666666666666666,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
33,2,0.0,-250.95158067056707,-0.5,-0.5,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
34,3,0.0,-167.19504143162877,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
35,13,-38.55684760989804,-38.62271525285847,-0.07692307692307693,-0.07692307692307693,13.0,13.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
36,3,0.0,-167.29448547378348,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
37,3,0.0,-167.25010102103568,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
38,9,0.0,-55.73278851890682,-0.1111111111111111,-0.1111111111111111,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
39,6,0.0,-83.54509485583698,-0.16666666666666666,-0.16666666666666666,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
40,5,-100.43677391813746,0.0,-0.2,-0.2,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
