,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Total Assets,"181,159,000","375,319,000","92,333,000","76,962,000","253,806,000","129,818,000","95,789,000","79,940,000","348,691,000","44,529,000","125,356,000","123,249,000","157,303,000","87,896,000","33,803,700","37,987,000","87,872,000","258,848,000","22,536,000","171,797,000","120,406,000","103,483,000","96,920,000","139,058,000","257,143,000","67,977,000","204,522,000","66,009,000"
Total Liabilities Net Minority Interest,"162,932,000","241,272,000","91,921,000","63,196,000","104,487,000","63,681,000","50,785,000","52,931,000","154,191,000","43,075,000","107,631,000","53,364,000","97,143,000","68,919,000","37,071,700","26,365,000","53,303,000","176,130,000","12,724,000","100,141,000","64,628,000","79,752,000","65,499,000","89,225,000","212,456,000","35,217,000","123,700,000","37,735,000"
Total Equity Gross Minority Interest,"18,227,000","134,047,000","412,000","13,766,000","149,319,000","66,137,000","45,004,000","27,009,000","194,500,000","1,454,000","17,725,000","69,885,000","60,160,000","18,977,000","-3,268,000","11,622,000","34,569,000","82,718,000","9,812,000","71,656,000","55,778,000","23,731,000","31,421,000","49,833,000","44,687,000","32,760,000","80,822,000","28,274,000"
Total Capitalization,"74,008,000","231,254,000","10,051,000","37,107,000","181,601,000","91,862,000","60,434,000","45,588,000","210,767,000","25,721,000","57,431,000","94,922,000","90,835,000","48,254,000","26,268,400","23,659,000","55,689,000","154,960,000","13,280,000","104,846,000","73,184,000","29,702,000","54,599,000","76,611,000","156,738,000","49,378,000","107,914,000","40,150,000"
Common Stock Equity,"18,227,000","134,047,000","355,000","13,697,000","148,124,000","66,137,000","41,315,000","25,823,000","187,688,000","1,454,000","17,594,000","69,885,000","60,160,000","17,072,000","-3,268,000","11,563,000","34,336,000","82,718,000","9,812,000","71,287,000","54,178,000","23,731,000","29,610,000","47,776,000","43,096,000","27,234,000","77,869,000","27,466,000"
Capital Lease Obligations,"23,000",,"138,000","437,000","94,000",,,-,"1,327,000",-,-,,,,-,"60,000",,"5,568,000",-,,"51,000",,-,,-,,"7,447,000",
Net Tangible Assets,"14,319,000","126,032,000","-7,777,000","5,386,000","143,593,000","33,832,000","2,894,000","6,336,000","187,688,000","-821,000","-22,935,000","32,751,000","-24,974,000","436,000","-5,647,700","-1,886,000","1,869,000","38,982,000","9,373,000","-33,384,000","-13,702,000","19,438,000","-14,183,000","-15,269,000","-84,740,000","-10,198,000","59,627,000","1,678,000"
Invested Capital,"80,123,000","249,727,000","11,334,000","48,138,000","186,793,000","99,854,000","66,606,000","46,824,000","228,697,000","28,482,000","64,417,000","96,698,000","94,741,000","64,757,000","26,268,400","25,512,000","58,746,000","158,958,000","13,622,000","114,779,000","85,719,000","30,302,000","57,095,000","79,468,000","160,191,000","45,601,000","116,909,000","40,401,000"
Tangible Book Value,"14,319,000","126,032,000","-7,777,000","5,386,000","143,593,000","33,832,000","2,894,000","6,336,000","187,688,000","-821,000","-22,935,000","32,751,000","-24,974,000","436,000","-5,647,700","-1,886,000","1,869,000","38,982,000","9,373,000","-33,405,000","-14,708,000","19,438,000","-14,183,000","-15,269,000","-84,740,000","-15,724,000","59,627,000","1,678,000"
Total Debt,"61,919,000","115,680,000","11,117,000","34,878,000","38,763,000","33,717,000","25,291,000","21,001,000","42,336,000","27,028,000","46,823,000","26,813,000","34,581,000","47,685,000","29,536,400","14,009,000","24,410,000","81,808,000","3,810,000","43,492,000","31,592,000","6,571,000","27,485,000","31,692,000","117,095,000","18,367,000","46,487,000","12,935,000"
Net Debt,"28,969,000","95,391,000","2,166,000","34,441,000","33,856,000","22,009,000","21,274,000","14,813,000","37,832,000","23,433,000","34,851,000","23,380,000","16,757,000","41,679,000","27,072,600","10,896,000","18,318,000","64,294,000",-,"42,150,000","25,972,000","6,227,000","18,500,000","19,711,000","115,016,000","8,493,000","32,284,000","9,634,000"
Share Issued,"861,645","5,126,201","1,012,261","814,895","2,442,677","4,983,000","2,900,000","750,000","8,019,000","1,780,000","2,229,429","4,687,000","3,119,843","7,040,000","1,660,600","944,033","3,577,104","7,677,000","1,601,000","9,275,000","4,009,200","772,300","1,444,187","969,000","4,242,374","2,335,160","2,952,000","1,172,514"
Ordinary Shares Number,"858,745","5,126,201","591,039","597,626","1,904,702","4,983,000","1,500,000","750,000","4,239,000","1,158,000","922,179","4,687,000","2,682,525","4,259,000","794,100","594,884","2,696,612","7,677,000","1,601,000","5,979,000","2,553,300","271,400","799,130","969,000","4,079,476","2,335,160","2,952,000","1,023,849"
Preferred Shares Number,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Shares Number,"2,900",,"421,222","217,269","537,975",,"1,400,000",-,"3,780,000","622,000","1,307,250",,"437,318","2,781,000","866,500","349,149","880,492",,,"3,296,000","1,455,900","500,900","645,057",,"162,898",,,"148,665"
Total Revenue,"28,865,000","265,595,000","101,127,000","54,722,000","158,902,000","49,330,000","59,434,000","60,278,000","279,332,000","108,203,000","79,590,000","70,848,000","81,581,000","31,856,000","21,025,200","32,765,000","42,294,000","125,843,000","39,117,000","53,647,000","66,832,000","30,282,000","66,501,000","224,871,000","130,863,000","20,609,000","514,405,000","131,537,000"
Credit Losses Provision,"-3,352,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Interest Expense,"17,391,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Associates & Other Participating Interests,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,"8,122,000","72,903,000","11,604,000","7,822,000","20,575,000","13,039,000","14,729,000","5,918,000","30,953,000","14,556,000","11,342,000","23,317,000","17,999,000","8,350,000","7,816,100","7,000,000","8,701,000","43,688,000","4,801,000","11,885,000","13,326,000","2,961,000","8,280,000","15,944,000","19,623,000","12,806,000","11,460,000","5,975,000"
Tax Provision,"1,201,000","13,372,000","1,144,000","1,698,000","5,715,000","12,929,000","1,663,000","1,285,000","9,532,000","3,435,000","2,619,000","2,264,000","2,702,000","1,623,000","1,891,800","1,637,000","2,508,000","4,448,000","772,000","706,000","3,465,000","438,000","2,626,000","3,562,000","3,584,000","2,505,000","4,281,000","998,000"
Net Income Common Stockholders,"6,787,000","59,531,000","10,453,000","6,147,000","14,824,000","110,000","12,598,000","4,499,000","20,840,000","11,121,000","8,728,000","21,053,000","15,297,000","6,434,000","5,924,300","5,349,000","6,220,000","39,240,000","4,029,000","11,152,000","9,485,000","2,504,000","5,269,000","11,986,000","15,528,000","9,942,000","6,670,000","5,024,000"
Diluted NI Available to Com Stockholders,"6,787,000","59,531,000","10,453,000","6,147,000","14,824,000","110,000","12,598,000","4,499,000","20,840,000","11,121,000","8,722,000","21,053,000","15,297,000","6,434,000","5,924,300","5,349,000","6,220,000","39,240,000","4,029,000","11,153,000","9,750,000","2,504,000","5,269,000","11,986,000","15,528,000","10,301,000","6,670,000","5,024,000"
Basic EPS,0.0079,0.012,0.0181,0.0104,0.0078,0,0.0084,0.006,0.0049,0.0098,0.0096,0.0046,0.0057,0.0015,0.0077,0.0091,0.0024,0.0051,0.0025,0.0019,0.0038,0.009,0.0066,0.0125,0.0038,0.0044,0.0023,0.0051
Diluted EPS,0.0079,0.0119,0.0179,0.0103,0.0077,0,0.0084,0.006,0.0049,0.0097,0.0095,0.0045,0.0056,0.0015,0.0075,0.0089,0.0023,0.0051,0.0025,0.0019,0.0037,0.0089,0.0065,0.0122,0.0038,0.0044,0.0023,0.0051
Basic Average Shares,"856,000","4,955,377","579,501","591,400","1,897,623","4,837,000","1,499,000","750,000","4,237,000","1,137,000","912,000","4,611,000","2,681,500","4,259,000","767,100","588,500","2,592,560","7,673,000","1,579,700","5,872,000","2,529,300","267,400","800,000","960,000","4,128,000","2,239,301","2,929,000","991,000"
Diluted Average Shares,"859,000","5,000,109","586,200","599,400","1,914,107","4,881,000","1,507,000","750,000","4,237,000","1,143,000","916,300","4,701,000","2,728,700","4,299,000","785,600","602,000","2,679,000","7,753,000","1,618,400","5,977,000","2,656,700","269,800","810,000","983,000","4,132,000","2,329,000","2,945,000","995,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"4,311,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income from Continuing & Discontinued Operation,"6,921,000","59,531,000","10,460,000","6,147,000","14,824,000","110,000","12,598,000","4,499,000","20,840,000","11,121,000","8,728,000","21,053,000","15,297,000","6,434,000","5,924,300","5,349,000","6,220,000","39,240,000","4,029,000","11,153,000","9,750,000","2,523,000","5,269,000","11,986,000","15,528,000","10,301,000","6,670,000","5,024,000"
Normalized Income,"6,921,000","59,531,000","10,292,414","6,173,565","14,824,000","153,800","12,094,184","5,919,901","20,840,000","11,309,708","8,702,237","21,100,859","15,510,350","7,556,286","5,863,433","4,929,998","6,542,536","36,122,144","4,029,000","14,722,914","9,750,000","2,523,000","5,269,000","10,916,848","19,280,487","10,789,028","6,670,000","5,024,000"
Total Money Market Investments,"547,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,"1,293,000","10,903,000","2,114,000","2,766,000","19,419,000","2,192,000","3,011,000","3,329,000","18,745,000","2,152,000","4,480,000","9,085,000","6,929,000","1,086,000","1,482,000","1,488,000","4,519,000","11,682,000","720,000","6,384,000","2,834,000","803,000","2,433,000","2,428,000","17,403,000","613,000","10,678,000","1,770,000"
Net Income from Continuing Operation Net Minority Interest,"6,921,000","59,531,000","10,460,000","6,147,000","14,824,000","110,000","12,598,000","4,499,000","20,840,000","11,121,000","8,723,000","21,053,000","15,297,000","6,685,000","5,924,300","5,349,000","6,220,000","39,240,000","4,029,000","11,143,000","9,750,000","2,523,000","5,269,000","11,986,000","15,528,000","10,301,000","6,670,000","5,024,000"
Total Unusual Items Excluding Goodwill,-,,"186,000","-35,000",,"-60,000","568,000","-1,815,000",,"-247,000","27,000","-53,000","-251,000","-1,081,000","80,300","547,000","-453,000","3,472,000",,"-3,806,000",-,,,"1,376,000","-4,591,000","-607,000",0,
Total Unusual Items,-,,"186,000","-35,000",,"-60,000","568,000","-1,815,000",,"-247,000","27,000","-53,000","-251,000","-1,081,000","80,300","547,000","-453,000","3,472,000",,"-3,806,000",-,,,"1,376,000","-4,591,000","-607,000",0,
Tax Rate for Calcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"18,414","-8,435",0,"-16,200","64,184","-394,099",0,"-58,292","6,237","-5,141","-37,650","-209,714","19,433","127,998","-130,464","354,144",0,"-226,086",0,0,0,"306,848","-838,513","-118,972",0,0
Operating Cash Flow,"8,930,000","77,434,000","15,322,000","6,558,000","30,618,000","13,666,000","14,295,000","3,894,000","36,014,000","13,038,000","15,247,000","29,432,000","22,201,000","7,627,000","6,966,700","6,439,000","10,922,000","52,185,000","4,955,000","15,827,000","14,867,000","4,380,000","6,322,000","15,713,000","34,339,000","12,713,000","27,753,000","8,265,000"
Investing Cash Flow,"-19,615,000","16,066,000","-4,621,000","-3,212,000","-12,290,000","15,324,000","-5,336,000","-2,128,000","-16,446,000","-2,416,000","-4,913,000","-11,239,000","-3,167,000","5,927,000","-2,455,100","222,000","4,314,000","-15,773,000","276,000","4,525,000","-3,511,000","-2,329,000","-16,973,000","-12,385,000","-17,934,000","-3,084,000","-24,036,000","-5,501,000"
Financing Cash Flow,"5,101,000","-87,876,000","-11,722,000","-3,650,000","-13,699,000","-31,764,000","-8,843,000","-5,164,000","-19,446,000","-12,420,000","-10,469,000","-18,607,000","-18,510,000","-10,347,000","-5,949,600","-6,701,000","-13,160,000","-36,887,000","-4,835,000","-20,441,000","-14,375,000","-2,012,000","7,965,000","-4,365,000","-15,377,000","-11,240,000","-2,537,000","-5,295,000"
End Cash Position,"27,808,000","25,913,000","7,637,000","7,890,000","10,481,000","8,934,000","4,155,000","2,669,000","3,042,000","1,778,000","11,604,000","3,019,000","18,107,000","9,318,000","866,000","2,853,000","7,967,000","11,356,000","4,249,000","1,225,000","2,569,000","373,000","6,152,000","10,866,000","3,916,000","8,162,000","7,756,000","785,000"
Capital Expenditure,"-1,310,000","-13,313,000","-1,791,000","-2,916,000","-13,792,000","-834,000","-4,465,000","-2,558,000","-19,574,000","-2,442,000","-3,964,000","-15,181,000","-3,670,000","-1,347,000","-2,741,700","-1,577,000","-2,615,000","-13,925,000","-1,028,000","-2,196,000","-3,717,000",,"-2,302,000","-2,063,000","-18,087,000","-718,000","-10,344,000","-1,367,000"
Issuance of Capital Stock,"87,000","669,000",,"313,000",-,"623,000",,"112,000",0,"236,000",-,,,"1,476,000",,"485,000",,"1,142,000",,,,,-,"838,000",-,,,
Issuance of Debt,"21,524,000","6,969,000","8,548,000","8,907,000","6,375,000","6,877,000","1,056,000","2,000,000","46,000","3,466,000","6,891,000","423,000","85,000","27,339,000","3,794,500","2,251,000",0,0,-,"8,685,000","5,072,000","591,000","13,455,000","6,935,000","10,777,000",0,"15,872,000","5,900,000"
Repayment of Debt,"-18,895,000","-6,500,000","-7,183,000","-7,829,000","-10,877,000","-12,375,000","-1,871,000","-3,234,000","-4,971,000","-1,429,000","-8,533,000","-3,026,000","-4,034,000","-30,568,000","-1,759,600","-1,034,000","-4,287,000","-4,000,000","-29,000","-9,620,000","-2,873,000","-600,000","-2,876,000","-2,801,000","-14,558,000","-1,750,000","-3,784,000","-4,890,000"
