,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Total Assets,"188,602,000","365,725,000","117,359,000","78,509,000","253,863,000","108,784,000","98,598,000","77,378,000","346,196,000","44,003,000","123,382,000","127,963,000","152,954,000","83,216,000","32,811,200","36,500,000","82,637,000","286,556,000","23,717,000","159,422,000","118,310,000","104,233,000","134,211,000","152,221,000","264,829,000","69,225,000","219,295,000","68,124,000"
Total Liabilities Net Minority Interest,"166,312,000","258,578,000","116,949,000","64,429,000","98,221,000","65,580,000","45,766,000","49,409,000","147,668,000","45,881,000","106,452,000","52,981,000","93,202,000","64,158,000","39,069,600","26,652,000","55,755,000","184,226,000","14,677,000","95,664,000","65,427,000","81,339,000","93,601,000","97,902,000","210,119,000","35,219,000","139,661,000","41,435,000"
Total Equity Gross Minority Interest,"22,290,000","107,147,000","410,000","14,080,000","155,642,000","43,204,000","52,832,000","27,969,000","198,528,000","-1,878,000","16,930,000","74,982,000","59,752,000","19,058,000","-6,258,400","9,848,000","26,882,000","102,330,000","9,040,000","63,758,000","52,883,000","22,894,000","40,610,000","54,319,000","54,710,000","34,006,000","79,634,000","26,689,000"
Total Capitalization,"80,694,000","200,882,000","10,897,000","38,583,000","183,287,000","63,535,000","65,857,000","46,085,000","211,029,000","24,929,000","52,401,000","100,080,000","87,436,000","42,345,000","24,816,900","23,207,000","46,507,000","168,992,000","12,504,000","96,316,000","73,071,000","28,858,000","79,638,000","86,277,000","159,018,000","50,636,000","116,016,000","38,438,000"
Common Stock Equity,"22,290,000","107,147,000","339,000","14,039,000","154,554,000","43,204,000","48,773,000","26,831,000","191,794,000","-1,878,000","16,796,000","74,982,000","59,752,000","16,981,000","-6,258,400","9,796,000","26,701,000","102,330,000","9,040,000","63,388,000","51,326,000","22,894,000","38,446,000","51,696,000","53,145,000","28,536,000","72,496,000","26,007,000"
Capital Lease Obligations,"19,000",,"156,000","456,000",-,,,-,"1,303,000",-,-,,,,-,"75,000",,"6,188,000",-,,"107,000",,-,,-,,"7,412,000",
Net Tangible Assets,"18,943,000","107,147,000","-10,930,000","5,925,000","150,036,000","8,946,000","10,692,000","8,070,000","191,794,000","-4,130,000","-22,557,000","38,633,000","-18,312,000","-289,000","-8,589,900","-2,912,000","-2,983,000","52,554,000","8,603,000","-25,215,000","-16,784,000","18,612,000","-36,090,000","-16,539,000","-75,374,000","-8,746,000","41,315,000","-2,690,000"
Invested Capital,"84,822,000","221,630,000","14,030,000","50,136,000","189,013,000","68,773,000","69,647,000","46,730,000","228,287,000","27,324,000","62,608,000","101,341,000","90,232,000","60,536,000","24,816,900","24,418,000","51,815,000","174,508,000","12,519,000","105,128,000","82,505,000","29,458,000","83,983,000","88,250,000","166,208,000","45,166,000","123,117,000","40,404,000"
Tangible Book Value,"18,943,000","107,147,000","-10,930,000","5,925,000","150,036,000","8,946,000","10,692,000","8,070,000","191,794,000","-4,130,000","-22,557,000","38,633,000","-18,312,000","-289,000","-8,589,900","-2,912,000","-2,983,000","52,554,000","8,603,000","-25,234,000","-17,751,000","18,612,000","-36,090,000","-16,539,000","-75,374,000","-14,216,000","41,315,000","-2,690,000"
Total Debt,"62,551,000","114,483,000","13,847,000","36,553,000","34,459,000","25,569,000","20,874,000","19,899,000","37,796,000","29,202,000","45,812,000","26,359,000","30,480,000","43,555,000","31,075,300","14,697,000","25,114,000","78,366,000","3,479,000","41,740,000","31,286,000","6,564,000","45,537,000","36,554,000","113,063,000","16,630,000","58,033,000","14,397,000"
